Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196811,    4.52,    5.95,    6.89,    7.75,    9.04,    5.89,    2.65,    5.04,    7.57,    7.47,    6.20,    7.55,    8.01,   10.04,    8.29
196812,   -4.57,   -2.80,   -3.12,   -2.12,   -1.24,   -4.72,   -4.25,   -2.33,   -3.39,   -2.81,   -3.63,   -2.51,   -1.74,   -3.16,    0.30
196901,   -0.87,    0.14,   -0.35,   -1.38,   -2.60,   -0.94,   -0.69,    0.30,   -0.06,   -0.24,   -0.45,   -1.19,   -1.57,   -3.63,   -1.72
196902,   -2.94,   -5.32,   -7.14,   -8.02,  -11.17,   -2.59,   -3.63,   -5.01,   -5.88,   -6.54,   -7.88,   -6.92,   -9.49,  -11.06,  -11.27
196903,    3.12,    3.94,    2.67,    2.78,    2.27,    2.36,    4.22,    4.67,    3.03,    3.08,    1.94,    2.85,    2.68,    2.18,    2.37
196904,    2.69,    1.20,    1.29,    1.47,    2.00,    2.50,    2.88,    1.40,    1.01,    1.64,    0.76,    2.08,    1.04,    2.17,    1.85
196905,    0.54,    0.61,   -0.24,    0.44,   -0.65,    0.33,    0.93,    0.70,    0.46,    0.71,   -1.24,    1.74,   -1.56,   -2.14,    0.73
196906,   -3.87,   -6.63,   -7.45,  -10.86,  -14.40,   -3.16,   -5.57,   -6.03,   -7.66,   -8.04,   -6.64,   -9.16,  -12.32,  -12.11,  -16.45
196907,   -5.28,   -5.64,   -6.89,   -9.03,  -11.28,   -5.02,   -6.04,   -4.70,   -6.72,   -7.96,   -5.72,   -8.66,   -9.48,  -10.70,  -11.73
196908,    3.53,    5.80,    5.65,    8.40,    8.10,    2.75,    4.66,    5.83,    5.76,    4.92,    6.26,    6.74,   10.07,    6.98,    9.18
196909,   -2.43,   -1.03,   -2.54,   -3.80,   -3.49,   -2.86,   -1.81,   -1.13,   -0.92,   -2.08,   -3.20,   -2.80,   -5.11,   -2.26,   -4.67
196910,    4.64,    6.48,    4.76,    7.46,    8.02,    4.53,    4.72,    6.81,    6.09,    4.94,    4.44,    6.28,    9.28,    6.95,    9.10
196911,   -2.69,   -2.97,   -3.39,   -4.21,   -6.51,   -2.28,   -3.75,   -3.73,   -2.23,   -2.61,   -4.41,   -4.62,   -3.85,   -5.77,   -7.24
196912,   -0.65,   -2.44,   -1.61,   -3.79,   -7.14,   -1.64,    0.96,   -2.51,   -2.35,   -2.15,   -0.84,   -2.89,   -4.66,   -6.11,   -8.08
197001,   -6.11,   -7.50,   -8.04,  -11.59,  -10.51,   -5.63,   -6.79,   -7.64,   -7.28,   -7.36,   -8.74,  -12.16,  -10.76,  -10.67,  -10.38
197002,    5.56,    6.02,    6.24,    8.19,    1.66,    6.36,    4.52,    5.20,    7.06,    6.15,    6.39,    7.92,    8.60,    2.41,    0.95
197003,    0.80,   -0.17,   -0.39,   -2.55,   -5.40,    1.58,    0.00,   -0.64,    0.53,   -0.04,   -1.05,   -1.62,   -3.69,   -4.48,   -6.40
197004,   -8.46,   -8.05,  -12.38,  -13.86,  -20.40,   -7.70,   -9.37,   -7.74,   -8.46,  -11.15,  -14.05,  -12.37,  -15.92,  -18.37,  -22.44
197005,   -5.49,   -5.76,   -6.25,   -8.12,  -11.77,   -5.93,   -5.10,   -4.67,   -7.49,   -6.53,   -5.94,   -6.21,  -10.80,  -10.56,  -13.35
197006,   -3.56,   -3.75,   -6.33,   -9.78,  -12.13,   -4.62,   -2.07,   -3.88,   -3.45,   -6.17,   -6.63,   -8.23,  -12.42,  -12.12,  -12.14
197007,    9.11,    4.75,    9.44,    8.27,    4.43,    9.50,    8.78,    4.33,    5.57,   11.30,    6.94,    6.79,   10.04,    4.43,    4.43
197008,    4.45,    4.19,    5.01,    7.44,   10.20,    3.97,    4.89,    4.75,    3.37,    4.99,    5.05,    7.67,    7.08,   10.65,    9.55
197009,    0.94,    4.68,    6.80,    9.75,   17.73,    1.03,    0.74,    4.93,    4.30,    6.88,    6.69,    9.30,   10.22,   14.85,   20.67
197010,   -0.68,   -0.57,   -1.83,   -5.80,  -10.26,   -1.57,    0.61,   -0.40,   -0.80,   -0.93,   -3.20,   -4.31,   -7.36,   -8.67,  -12.13
197011,    6.25,    4.73,    4.10,    4.91,   -0.28,    6.13,    6.39,    4.80,    4.61,    3.93,    4.41,    5.36,    4.27,    1.65,   -2.38
197012,    5.69,    6.52,    6.15,    8.92,    5.44,    6.34,    5.08,    6.07,    7.15,    6.34,    5.86,    7.95,   10.40,    7.88,    2.98
197101,    3.30,    5.09,    8.03,   10.35,   13.60,    2.89,    4.48,    5.11,    5.08,    7.26,    9.03,    8.98,   12.33,   12.46,   14.90
197102,    1.02,    2.08,    2.89,    3.20,    3.65,    0.63,    1.92,    1.76,    2.35,    3.27,    2.45,    4.46,    1.64,    3.04,    4.33
197103,    4.13,    3.84,    4.94,    6.57,    6.13,    4.12,    4.16,    2.96,    5.04,    4.52,    5.48,    6.01,    7.26,    6.59,    5.62
197104,    2.55,    3.69,    5.38,    5.18,    3.43,    2.30,    3.37,    4.16,    2.90,    5.56,    5.15,    5.00,    5.46,    3.41,    3.45
197105,   -4.13,   -2.45,   -2.83,   -3.73,   -5.81,   -4.31,   -3.69,   -3.14,   -1.75,   -2.74,   -2.96,   -3.20,   -4.62,   -5.02,   -6.66
197106,    0.73,    0.81,    0.47,   -0.81,   -4.11,    0.02,    2.28,    1.03,    0.59,    1.78,   -1.13,   -0.57,   -1.08,   -4.42,   -3.75
197107,   -2.88,   -3.90,   -4.49,   -6.44,   -9.93,   -2.45,   -3.71,   -4.54,   -3.16,   -4.66,   -4.29,   -6.86,   -5.78,   -9.64,  -10.21
197108,    3.82,    3.29,    5.11,    6.94,    6.14,    3.54,    4.20,    2.21,    4.42,    4.42,    5.73,    6.57,    7.56,    6.68,    5.73
197109,    0.18,   -0.45,   -1.11,   -1.49,   -1.45,    0.30,    0.02,   -0.32,   -0.66,   -0.75,   -1.72,   -1.15,   -1.92,   -1.65,   -1.20
197110,   -2.00,   -3.98,   -5.64,   -7.18,   -7.61,   -1.36,   -2.98,   -3.30,   -5.11,   -5.49,   -5.92,   -7.26,   -7.08,   -6.02,   -9.57
197111,    0.44,    0.43,   -0.18,   -2.04,   -3.13,    0.24,    0.70,    0.91,   -0.26,   -0.72,    0.28,   -2.81,   -0.95,   -1.45,   -4.92
197112,    8.33,    8.68,    9.30,   11.46,   13.02,    7.13,    9.87,    8.78,    8.46,    8.39,   10.41,   11.14,   12.04,   13.25,   12.77
197201,    0.98,    2.07,    4.56,    5.09,   10.29,    1.11,    0.81,    2.14,    1.85,    3.11,    6.91,    4.38,    6.19,    7.80,   13.32
197202,    2.07,    3.82,    4.08,    4.86,    3.76,    1.21,    2.87,    3.99,    3.53,    4.08,    4.08,    3.73,    6.15,    3.54,    4.04
197203,    1.34,    1.26,    0.25,   -0.69,   -0.85,    1.55,    1.10,    1.36,    1.12,   -0.68,    1.52,   -0.39,   -1.09,   -1.50,   -0.01
197204,   -0.17,    1.91,    0.83,    1.70,   -0.99,   -0.16,   -0.19,    2.08,    1.72,    0.87,    0.75,    0.55,    2.89,   -0.41,   -1.58
197205,    2.16,    1.80,    1.02,    0.32,   -1.17,    1.96,    2.48,    1.98,    1.62,    1.52,    0.13,   -0.33,    0.99,   -0.90,   -1.43
197206,   -1.71,   -1.31,   -2.63,   -5.23,   -3.55,   -1.53,   -2.10,   -0.79,   -1.87,   -1.81,   -3.93,   -5.81,   -4.36,   -4.62,   -2.61
197207,    1.30,   -0.25,   -2.18,   -4.89,   -5.26,    1.18,    1.54,   -0.73,    0.45,   -2.66,   -1.59,   -3.85,   -6.27,   -2.27,   -8.41
197208,    3.93,    3.70,    4.15,    3.39,   -0.13,    4.64,    3.17,    5.11,    2.39,    4.64,    3.45,    3.94,    2.64,    0.73,   -1.17
197209,    0.04,   -0.13,   -1.28,   -2.61,   -4.88,    0.40,   -0.27,    0.33,   -0.55,   -1.04,   -1.78,   -2.08,   -3.14,   -4.84,   -4.92
197210,    0.72,    2.30,    0.74,    0.00,   -2.35,    0.36,    1.04,    1.85,    2.96,    0.66,    0.81,   -0.70,    0.78,   -0.07,   -4.75
197211,    5.30,    3.71,    5.72,    6.01,    5.31,    6.26,    4.42,    4.09,    3.41,    5.93,    5.45,    6.53,    5.35,    5.80,    4.85
197212,    1.53,    2.09,   -0.02,   -1.38,   -2.56,    1.03,    2.04,    2.94,    0.96,   -0.89,    1.28,   -0.78,   -1.98,   -1.91,   -3.19
197301,   -0.68,   -2.33,   -4.69,   -6.53,  -10.41,    0.09,   -1.87,   -1.05,   -5.63,   -4.16,   -5.43,   -5.70,   -7.65,   -9.66,  -11.39
197302,   -3.01,   -4.46,   -5.07,   -7.15,  -10.25,   -2.93,   -3.15,   -4.13,   -4.85,   -4.42,   -6.04,   -8.22,   -5.99,   -9.58,  -11.00
197303,   -0.32,    0.03,   -1.65,   -2.29,   -2.40,    0.28,   -1.14,    0.13,   -0.14,   -1.69,   -1.60,   -1.00,   -4.52,   -1.34,   -3.62
197304,   -2.88,   -4.93,   -6.93,   -8.83,  -11.03,   -0.79,   -4.56,   -4.62,   -5.20,   -6.63,   -7.34,   -8.14,   -9.74,   -9.64,  -12.58
197305,   -1.69,   -0.92,   -3.52,   -3.40,  -10.16,   -1.83,   -1.45,   -1.20,   -0.62,   -2.97,   -4.29,   -2.01,   -5.80,   -7.90,  -12.66
